@relation data2_new

@attribute a numeric
@attribute b numeric
@attribute result {0,1}
@attribute a0b6 numeric
@attribute a1b5 numeric
@attribute a2b4 numeric
@attribute a3b3 numeric
@attribute a4b2 numeric
@attribute a5b1 numeric
@attribute a6b0 numeric

@data
-0.38076,0.91886,0,0.601861,-0.249401,0.103348,-0.042825,0.017746,-0.007354,0.003047
-0.50749,0.90424,0,0.546641,-0.306793,0.172183,-0.096635,0.054235,-0.030438,0.017083
-0.54781,0.70687,0,0.124749,-0.096678,0.074924,-0.058064,0.044999,-0.034873,0.027026
0.10311,0.77997,0,0.225148,0.029764,0.003935,0.00052,0.000069,0.000009,0.000001
0.057028,0.91886,0,0.601861,0.037354,0.002318,0.000144,0.000009,0.000001,0
-0.10426,0.99196,0,0.952719,-0.100136,0.010525,-0.001106,0.000116,-0.000012,0.000001
-0.081221,1.1089,0,1.859321,-0.136185,0.009975,-0.000731,0.000054,-0.000004,0
0.28744,1.087,0,1.649595,0.436209,0.115349,0.030502,0.008066,0.002133,0.000564
0.39689,0.82383,0,0.312626,0.150612,0.072559,0.034956,0.016841,0.008113,0.003909
0.63882,0.88962,0,0.495709,0.35596,0.255608,0.183548,0.131802,0.094645,0.067963
0.82316,0.66301,0,0.084942,0.105459,0.130933,0.16256,0.201826,0.250577,0.311104
0.67339,0.64108,0,0.069418,0.072917,0.076592,0.080452,0.084507,0.088766,0.09324
1.0709,0.10015,0,0.000001,0.000011,0.000115,0.001234,0.013192,0.141057,1.50832
-0.046659,-0.57968,0,0.037943,0.003054,0.000246,0.00002,0.000002,0,0
-0.23675,-0.63816,0,0.067543,0.025058,0.009296,0.003449,0.001279,0.000475,0.000176
-0.15035,-0.36769,0,0.002471,0.00101,0.000413,0.000169,0.000069,0.000028,0.000012
-0.49021,-0.3019,0,0.000757,0.001229,0.001996,0.003241,0.005263,0.008546,0.013877
-0.46717,-0.13377,0,0.000006,0.00002,0.00007,0.000244,0.000852,0.002977,0.010396
-0.28859,-0.060673,0,0,0,0.000001,0.000005,0.000026,0.000121,0.000578
-0.61118,-0.067982,0,0,0.000001,0.000008,0.000072,0.000645,0.005797,0.052121
-0.66302,-0.21418,0,0.000097,0.000299,0.000925,0.002864,0.008865,0.027442,0.084949
-0.59965,-0.41886,0,0.0054,0.007731,0.011068,0.015845,0.022684,0.032476,0.046493
-0.72638,-0.082602,0,0,0.000003,0.000025,0.000216,0.001899,0.016704,0.146887
-0.83007,0.31213,0,0.000925,-0.002459,0.00654,-0.017392,0.046252,-0.123001,0.327106
-0.72062,0.53874,0,0.02445,-0.032704,0.043745,-0.058514,0.078268,-0.104691,0.140035
-0.59389,0.49488,0,0.014689,-0.017628,0.021155,-0.025387,0.030467,-0.036562,0.043877
-0.48445,0.99927,0,0.995628,-0.482684,0.234007,-0.113448,0.055,-0.026664,0.012927
-0.006336,0.99927,0,0.995628,-0.006313,0.00004,-0,0,-0,0
0.63265,-0.030612,0,0,-0,0,-0.000007,0.00015,-0.003102,0.064118
