@relation 'titanic_train_deal_1-weka.filters.unsupervised.attribute.NumericToNominal-R1,2,3,8,9,10,11,12,13-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R4-5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Survived {0,1}
@attribute Pclass {1,2,3}
@attribute Sex {0,1}
@attribute Fare numeric
@attribute Cabin {0,1}
@attribute Embarked {S,C,Q}
@attribute sex_class {1,2,3,4,5,6}
@attribute age_class {1,2,3,4}
@attribute sibsp_class {1,2,3}
@attribute parch_class {1,2}

@data
1,3,0,0.01394,0,S,1,2,1,1
1,3,1,0.04364,1,C,4,2,1,1
0,3,0,0.013614,0,S,1,3,1,1
0,3,0,0.015412,0,C,1,3,1,1
0,3,0,0.013761,0,S,1,2,1,1
0,3,1,0.028302,0,S,4,3,1,1
1,2,1,0.050749,0,S,5,3,1,1
0,2,0,0.025374,0,S,2,2,1,1
0,2,0,0.029367,0,C,2,2,1,1
1,1,1,0.051302,1,S,6,2,1,1
0,1,0,0.103644,1,S,3,3,1,1
0,3,0,0.01799,0,S,1,2,1,1
0,1,0,0.154588,1,C,3,2,1,1
0,3,1,0.029758,0,C,4,3,1,1
1,3,1,0.015127,0,S,4,2,1,1
1,3,1,0.030937,0,S,4,2,1,1
0,3,0,0.013175,0,Q,1,2,1,1
0,2,0,0.022447,0,S,2,2,1,1
0,2,0,0.071731,0,S,2,2,1,1
1,3,0,0.015216,0,S,1,2,1,1
0,3,1,0.067096,0,S,4,1,2,1
0,2,0,0.050749,1,S,2,3,1,1
0,2,0,0.025374,0,S,2,3,1,1
0,2,0,0.024447,0,S,2,4,1,1
1,1,1,0.129995,1,S,6,2,1,1
0,3,0,0.015713,0,S,1,4,1,1
0,3,0,0.028302,0,S,1,3,1,1
0,3,0,0.014273,0,S,1,3,1,1
0,1,0,0.119804,0,C,3,4,1,1
1,3,1,0.015094,0,Q,4,2,1,1
0,3,0,0.015713,0,S,1,3,1,1
0,3,0,0.016908,0,S,1,3,1,1
0,3,0,0.135753,0,S,1,1,3,1
0,3,0,0.031425,0,S,1,3,1,1
1,2,1,0.030742,0,S,5,3,1,1
0,3,0,0.015176,0,S,1,2,1,1
0,3,0,0.016908,0,S,1,2,1,1
0,3,0,0.077465,0,S,1,1,3,1
1,3,0,0.040062,0,S,1,1,1,1
1,1,1,0.107353,1,S,6,3,1,1
0,3,1,0.054457,0,S,4,3,1,2
0,1,0,0.050602,0,S,3,3,1,1
0,3,0,0.110272,0,S,1,2,1,1
0,1,0,0.065388,1,S,3,4,1,1
0,3,0,0.056848,0,Q,1,1,3,1
1,3,1,0.021731,0,S,4,1,1,1
0,3,0,0.015469,0,S,1,2,1,1
0,1,0,0.059914,1,C,3,4,1,1
0,3,0,0.01533,0,S,1,2,1,1
0,3,0,0.049708,0,S,1,1,3,1
0,1,1,0.056043,1,C,6,4,1,1
0,2,0,0.025374,0,S,2,3,1,1
0,3,0,0,0,S,1,3,1,1
0,3,1,0.135753,0,S,4,2,3,1
0,2,0,0.029376,0,C,2,3,1,1
0,3,0,0.061264,0,S,1,1,3,1
1,2,0,0.076123,1,S,2,1,2,1
1,3,1,0.04299,0,S,4,1,1,1
0,1,0,0.097594,1,S,3,3,1,1
1,3,1,0.030254,0,Q,4,3,1,1
1,1,0,0.051822,0,S,3,3,1,1
0,3,0,0.030254,0,Q,1,3,1,1
0,3,0,0.015412,0,S,1,3,1,1
1,2,1,0.025374,0,S,5,3,1,1
0,2,0,0.025374,0,S,2,2,1,1
1,3,1,0.01533,0,S,4,2,1,1
1,2,0,0.050749,1,S,2,1,1,1
1,1,1,0.054107,1,C,6,3,1,1
1,1,1,0.28599,1,C,6,4,1,1
0,3,0,0.015127,0,Q,1,3,1,1
0,3,0,0.016404,0,S,1,3,1,1
1,3,1,0.015127,0,Q,4,2,1,1
0,2,1,0.025374,0,S,5,2,1,1
0,3,0,0.018543,0,S,1,2,1,1
0,3,0,0.135753,0,S,1,3,3,1
0,3,0,0.012679,0,S,1,3,1,1
0,3,0,0.014102,0,C,1,3,1,1
1,3,0,0.015713,0,S,1,2,1,1
0,3,1,0.020421,1,S,4,1,1,1
0,3,0,0.030937,0,S,1,3,1,1
1,3,0,0.036671,0,C,1,2,1,1
1,3,1,0.015127,0,Q,4,2,1,1
1,1,0,0.060508,1,C,3,3,1,1
0,3,0,0.013761,0,S,1,2,1,1
1,2,1,0.040989,0,S,5,3,1,1
0,3,0,0.014151,0,S,1,2,1,1
0,2,0,0.025374,0,S,2,3,1,1
0,3,0,0.015127,0,Q,1,3,1,1
1,1,1,0.221098,1,C,6,3,1,1
1,3,1,0.015469,0,S,4,2,1,1
0,2,0,0.0527,0,S,2,3,1,1
1,1,1,0.148911,1,C,6,3,1,1
0,2,0,0.020495,0,S,2,3,1,1
1,3,0,0.015713,0,S,1,2,1,1
0,2,0,0.025374,0,S,2,2,1,1
0,3,0,0.015713,0,S,1,4,1,1
0,3,0,0.015412,0,S,1,3,1,1
1,1,0,0.175668,1,S,3,3,1,1
0,3,0,0.01825,0,S,1,2,1,1
1,2,0,0.020495,0,S,2,2,1,1
0,3,0,0.014151,0,S,1,2,1,1
0,2,0,0.025374,0,S,2,2,1,1
0,3,1,0.049708,0,S,4,2,3,1
1,1,1,0.162932,1,S,6,3,1,1
0,3,0,0.015176,0,S,1,3,1,1
0,2,0,0.02635,0,S,2,4,1,1
1,3,1,0.061264,0,S,4,1,3,1
0,2,0,0.020495,0,S,2,2,1,1
0,3,1,0.014737,0,S,4,2,1,1
0,2,0,0.050749,0,S,2,3,1,1
1,2,1,0.051237,0,S,5,1,1,1
0,2,0,0.020495,0,S,2,2,1,1
0,2,0,0.023959,0,S,2,3,1,1
0,3,1,0.028213,0,C,4,2,1,1
1,3,1,0.030254,0,Q,4,2,1,1
0,2,0,0.020495,0,S,2,3,1,1
0,3,0,0.013907,0,S,1,2,1,1
0,3,0,0.014102,0,C,1,3,1,1
0,1,0,0.175668,1,Q,3,3,2,1
0,3,1,0.015176,0,S,4,2,1,1
1,2,1,0.028302,0,S,5,2,1,1
1,1,0,0.102579,1,S,3,3,1,1
0,2,0,0.050749,0,S,2,4,1,1
0,3,0,0.014151,0,S,1,3,1,1
0,3,1,0.020421,1,S,4,3,1,1
0,1,0,0.051822,1,S,3,4,1,1
0,3,0,0.031425,0,S,1,3,1,1
0,3,1,0.039452,0,S,4,3,1,1
1,3,1,0.029758,0,C,4,3,1,1
1,1,1,0.154588,0,C,6,3,1,1
1,1,1,0.168837,1,S,6,3,1,1
1,1,1,1,0,C,6,3,1,1
1,2,1,0.050749,0,S,5,4,1,1
0,3,0,0.015127,0,Q,1,3,1,1
1,3,0,0.061264,0,S,1,1,3,1
0,1,0,0.155466,1,S,3,4,1,1
0,1,0,0,1,S,3,3,1,1
0,3,1,0.015127,0,Q,4,2,1,1
0,2,0,0.020495,0,S,2,3,1,1
0,3,0,0.077465,0,S,1,2,3,1
1,3,0,0.015176,0,S,1,2,1,1
1,1,1,0.299539,1,S,6,4,1,1
1,1,1,0.264739,1,S,6,3,1,1
0,1,0,0.060508,0,S,3,3,1,1
1,3,0,0,0,S,1,2,1,1
1,2,1,0.038061,0,S,5,3,1,1
0,1,0,0.057971,1,C,3,3,1,1
1,3,1,0.015127,0,Q,4,2,1,1
1,1,1,0.152164,1,S,6,4,1,1
0,3,1,0.015127,0,S,4,3,1,1
0,2,0,0,0,S,2,3,1,1
0,3,0,0.056848,0,Q,1,1,3,1
1,3,1,0.039525,0,S,4,3,1,1
0,3,0,0.015127,0,Q,1,4,1,1
0,3,0,0.01533,0,S,1,2,1,1
0,3,0,0.018543,0,S,1,2,1,1
1,3,0,0.015713,0,S,1,2,1,1
0,1,0,0.050749,1,S,3,3,1,1
0,3,0,0.016908,0,C,1,3,1,1
1,3,0,0.018543,0,S,1,3,1,1
0,3,0,0.015412,0,S,1,2,1,1
1,2,0,0.025374,0,S,2,3,1,1
1,3,1,0.015127,0,Q,4,2,1,1
1,1,1,0.153905,0,S,6,2,1,1
1,1,1,0.177775,1,C,6,2,1,1
0,2,0,0.02513,1,C,2,3,1,1
0,3,1,0.017274,0,S,4,2,1,1
0,3,0,0.015412,0,S,1,2,1,1
0,1,0,0.054107,0,C,3,3,1,1
0,3,0,0.01411,0,C,1,2,1,1
0,1,1,0.295806,1,S,6,1,1,1
1,1,0,0.059532,1,S,3,3,1,1
1,1,1,0.483128,1,C,6,4,1,1
1,3,1,0.015127,0,Q,4,2,1,1
1,3,0,0.045381,0,Q,1,3,2,1
0,3,0,0,0,S,1,2,1,1
1,2,1,0.024106,1,Q,5,2,1,1
0,3,0,0.015713,0,S,1,3,1,1
1,1,0,0.295806,1,S,3,1,1,1
1,1,1,0.21643,0,C,6,2,1,1
1,1,1,0.212559,1,C,6,2,1,1
0,2,0,0.046845,0,C,2,3,1,1
1,1,1,0.111118,1,C,6,3,1,1
1,1,1,0.162314,1,C,6,2,1,1
1,1,1,0.512122,1,C,6,2,2,1
0,2,1,0.050749,0,S,5,2,1,1
0,3,0,0.015412,0,S,1,2,1,1
0,2,0,0.051237,0,S,2,3,1,1
1,3,1,0.01533,0,S,4,2,1,1
1,2,1,0.050749,0,S,5,2,1,1
0,2,0,0.027326,0,S,2,4,1,1
1,1,1,0.321798,1,S,6,3,1,1
1,1,1,0.262527,1,C,6,3,1,1
0,3,0,0.014151,0,S,1,2,1,1
0,3,0,0.015412,0,S,1,2,1,1
1,2,1,0.024106,0,Q,5,3,1,1
1,2,1,0.056604,0,S,5,2,1,1
0,3,0,0.135753,0,S,1,3,3,1
1,1,1,0.264739,1,C,6,3,1,1
0,3,0,0.012175,0,S,1,4,1,1
1,2,1,0.025374,1,S,5,3,1,1
1,3,1,0.040062,0,S,4,3,1,1
1,1,1,0.113168,1,C,6,2,1,1
1,3,1,0.045381,0,Q,4,2,2,1
0,1,0,0.055628,1,S,3,3,1,1
0,1,0,0.299539,1,S,3,3,1,1
0,3,0,0.035134,0,S,1,2,2,1
1,1,1,0.260867,0,S,6,3,1,1
0,3,0,0.015412,0,S,1,3,1,1
0,1,0,0.129995,1,S,3,3,1,1
1,1,1,0.262527,1,C,6,3,1,1
1,3,0,0.015713,0,S,1,3,1,1
0,1,0,0.069291,1,S,3,3,1,1
1,2,0,0.050749,1,S,2,1,1,1
1,1,1,0.513342,1,S,6,2,3,1
0,2,0,0.025374,0,S,2,2,1,1
0,2,0,0.025374,0,S,2,2,1,1
0,2,0,0.025374,0,S,2,3,1,1
1,2,1,0.025374,1,S,5,2,1,1
1,2,1,0.025374,0,S,5,3,1,1
1,3,1,0.031425,0,S,4,3,1,1
1,3,0,0.031035,0,S,1,1,1,1
0,3,0,0.016908,0,S,1,3,1,1
0,3,0,0.018006,0,S,1,2,1,1
0,1,0,0.068315,1,S,3,3,1,1
0,3,0,0.01411,0,C,1,2,1,1
0,3,0,0.034743,0,S,1,2,1,1
0,3,0,0.014102,0,C,1,3,1,1
0,3,0,0.018543,0,S,1,2,1,1
1,1,1,0.107353,1,S,6,2,1,1
0,2,1,0.025374,0,S,5,3,1,1
1,3,1,0.015379,0,Q,4,2,1,1
1,3,1,0.015379,0,Q,4,2,1,1
0,3,0,0.054457,0,S,1,3,1,2
0,2,0,0.054107,0,C,2,3,1,1
0,3,1,0.028213,0,C,4,3,1,1
0,3,0,0.013761,0,S,1,3,1,1
0,3,0,0.030254,0,Q,1,3,1,1
0,3,0,0.014151,0,S,1,3,1,1
1,1,1,0.146878,1,C,6,4,1,1
1,3,1,0.01411,0,C,4,3,1,1
1,3,1,0.015127,0,Q,4,2,1,1
1,1,1,0.135265,1,C,6,2,1,1
1,1,0,0.108215,1,C,3,2,1,1
0,3,0,0.012679,0,S,1,2,1,1
0,3,0,0.015713,0,S,1,2,1,1
0,1,0,0.264739,0,C,3,2,1,1
0,3,1,0.041136,0,S,4,1,3,1
1,1,1,0.160387,0,C,6,3,1,1
1,3,1,0.014151,0,S,4,2,1,1
0,1,0,0.412821,1,C,3,2,1,1
0,3,0,0.007832,0,C,1,2,1,1
0,3,0,0.015176,0,S,1,2,1,1
1,1,1,0.444099,0,C,6,3,1,1
1,3,1,0.030726,0,C,4,1,1,1
0,3,0,0.015469,0,S,1,3,1,1
1,1,1,0.101497,0,S,6,3,1,1
0,3,0,0.015412,0,S,1,3,1,1
0,2,0,0.143462,0,S,2,2,1,1
0,3,0,0.091543,0,S,1,1,3,1
1,2,1,0.025374,0,S,5,3,1,1
0,3,0,0.015086,0,Q,1,3,1,1
1,2,1,0.023422,0,C,5,2,1,1
1,1,0,0.234224,1,S,3,3,1,1
1,3,0,0.015216,0,S,1,2,1,1
0,3,0,0.015469,0,S,1,2,2,1
1,1,1,0.221098,1,C,6,2,1,1
1,3,1,0.032596,1,S,4,2,1,1
0,3,0,0.015216,0,S,1,2,1,1
0,3,1,0.01533,0,S,4,3,1,1
0,2,0,0.050749,0,S,2,3,1,1
0,2,0,0.020495,0,S,2,2,1,1
1,2,1,0.024691,0,S,5,2,1,1
1,3,0,0.015469,0,S,1,3,1,1
0,3,0,0.015713,0,S,1,2,1,1
0,3,1,0.019177,0,S,4,2,1,1
0,3,0,0.030937,0,S,1,2,1,1
0,3,1,0.016908,0,S,4,2,1,1
0,2,0,0.040989,0,S,2,3,1,1
0,3,0,0.015127,0,S,1,4,1,1
1,2,0,0.036598,0,S,2,1,1,1
0,3,0,0.015176,0,S,1,2,1,1
0,3,1,0.049708,0,S,4,2,3,1
0,3,0,0.015412,0,S,1,3,1,1
0,3,0,0.013387,0,Q,1,3,1,1
1,1,1,0.175668,1,Q,6,3,1,1
0,2,0,0,0,S,2,3,1,1
1,3,0,0.015469,0,S,1,3,1,1
0,3,1,0.015713,0,S,4,3,1,1
1,2,1,0.063436,0,S,5,3,1,1
1,2,1,0.025374,0,S,5,2,1,1
0,2,0,0.025374,0,S,2,3,1,1
0,3,1,0.047138,0,S,4,1,1,1
0,3,0,0.015412,0,C,1,3,1,1
0,3,0,0.015094,0,Q,1,2,1,1
0,3,0,0.015371,0,S,1,3,1,1
0,3,1,0.028107,0,S,4,2,1,1
0,3,0,0.039452,0,S,1,2,1,1
0,3,0,0.014151,0,S,1,3,1,1
1,2,1,0.050749,0,S,5,2,1,1
1,2,1,0.050749,0,S,5,2,1,1
0,3,0,0.015127,0,Q,1,3,1,1
1,3,0,0.015713,1,S,1,3,1,1
1,1,0,0.051822,1,S,3,2,1,1
1,3,1,0.031425,0,S,4,3,1,1
1,2,1,0.050749,0,S,5,3,1,1
0,3,0,0.013907,0,S,1,2,1,1
0,1,0,0.10911,1,S,3,4,1,1
1,1,1,0.234224,1,S,6,1,1,1
0,3,1,0.067096,0,S,4,2,2,1
1,2,1,0.036598,0,S,5,2,2,2
0,1,0,0.513342,1,S,3,4,1,2
0,2,0,0.020495,0,S,2,3,1,1
1,2,1,0.051237,0,S,5,3,1,1
0,3,0,0.018543,0,S,1,2,1,1
0,3,0,0.015176,0,S,1,2,1,1
1,2,1,0.025374,0,S,5,2,1,1
1,3,0,0.015835,0,S,1,3,1,1
1,1,0,0.159777,1,S,3,1,1,1
1,2,1,0.038061,0,S,5,1,1,1
1,1,0,0.051822,0,S,3,3,1,1
1,3,1,0.03759,0,C,4,1,2,1
1,1,0,0.059532,1,S,3,4,1,1
0,2,0,0.054164,0,S,2,3,1,1
0,3,0,0.038972,0,S,1,3,1,1
0,1,0,0.054164,1,C,3,3,1,1
1,1,0,0.17392,1,C,3,4,1,1
0,3,0,0.015713,0,S,1,3,1,1
1,3,0,0.015412,0,C,1,3,1,1
0,1,0,0.051822,1,S,3,4,1,1
1,1,1,0.101229,1,S,6,3,1,1
1,2,1,0.020495,0,S,5,4,1,1
0,3,0,0.015127,0,Q,1,3,1,1
1,1,0,0.051822,1,S,3,4,1,1
0,3,0,0.015713,0,S,1,3,1,1
0,1,0,0.075147,1,S,3,3,1,1
0,2,0,0.025374,0,S,2,4,1,1
0,3,0,0.015713,0,S,1,3,1,1
0,3,0,0.013761,0,S,1,3,1,1
0,2,0,0,0,S,2,3,1,1
0,1,0,0.051822,0,S,3,4,1,1
0,3,0,0.015078,0,Q,1,3,1,1
1,3,1,0.03759,0,C,4,1,2,1
0,3,0,0.014151,0,S,1,3,1,1
0,3,0,0.016908,0,S,1,3,1,1
1,2,1,0.054164,0,S,5,3,1,1
1,2,1,0.02692,1,C,5,2,1,1
0,3,1,0.019202,0,S,4,2,1,1
0,1,0,0.101497,1,S,3,3,1,1
0,2,0,0.040989,0,S,2,3,1,1
0,3,0,0.013752,0,S,1,3,1,1
0,3,0,0.01468,0,S,1,2,1,1
1,3,1,0.023984,0,S,4,1,1,1
0,3,0,0.091543,0,S,1,1,3,1
0,2,0,0,0,S,2,3,1,1
0,3,0,0.015713,0,S,1,4,1,1
1,3,1,0.018714,0,S,4,4,1,1
1,1,0,0.177775,1,C,3,2,1,1
0,3,1,0.049708,0,S,4,2,3,1
1,1,1,0.175668,1,S,6,3,1,1
0,1,0,0.057971,1,C,3,4,1,1
0,3,0,0.015713,0,S,1,3,1,1
1,3,0,0.031035,0,S,1,1,1,1
0,3,0,0.038972,0,S,1,3,1,1
0,3,0,0.014151,0,S,1,2,1,1
0,1,0,0.059532,1,S,3,4,1,1
0,1,0,0.096626,0,C,3,4,1,1
0,3,0,0.015713,0,S,1,2,1,1
0,3,0,0.028221,0,C,1,3,1,1
1,1,1,0.152766,1,C,6,4,1,1
0,3,0,0.029473,0,S,1,3,1,1
0,1,1,0.295806,1,S,6,2,1,1
0,3,0,0.015216,0,S,1,2,1,1
0,3,0,0.016908,0,S,1,2,1,1
0,3,1,0.015127,0,Q,4,2,1,1
0,3,1,0.014891,0,Q,4,2,1,1
0,3,1,0.018714,0,S,4,3,1,1
1,1,1,0.168837,1,S,6,2,1,1
0,1,0,0.212559,1,C,3,2,1,1
1,2,1,0.050749,0,S,5,3,1,1
1,1,0,0.051822,0,S,3,3,1,1
0,3,0,0.043966,0,S,1,2,1,1
1,3,0,0.110272,0,S,1,2,1,1
1,3,0,0.015127,0,Q,1,3,1,1
0,3,0,0.015713,0,S,1,3,1,1
1,1,0,0.05131,1,S,3,3,1,1
1,1,1,0.115941,0,C,6,4,1,1
0,3,0,0.014631,0,S,1,2,1,1
0,1,0,0.066404,1,S,3,3,1,1
1,2,1,0.020495,1,S,5,3,1,1
0,3,0,0.047138,0,Q,1,3,1,1
1,2,1,0.050749,0,S,5,3,1,1
0,3,0,0.015412,0,S,1,3,1,1
1,1,1,0.1825,1,S,6,3,1,1
0,3,0,0.015412,0,S,1,2,1,1
0,3,0,0.014102,0,C,1,3,1,1
1,1,1,0.113168,1,C,6,3,1,1
0,3,0,0.01411,0,C,1,3,1,1
0,3,0,0.015127,0,Q,1,3,1,1
1,2,1,0.020495,0,S,5,4,1,1
0,1,0,0.432884,1,S,3,3,1,1
0,3,0,0.015469,0,S,1,3,1,1
0,2,0,0.022447,0,S,2,2,2,1
1,2,1,0.050749,0,S,5,1,1,1
0,3,0,0.01411,0,C,1,3,1,1
0,3,0,0.01411,0,C,1,2,1,1
1,3,1,0.04364,0,C,4,3,1,1
0,3,1,0.016908,0,S,4,3,1,1
1,2,1,0.051237,0,S,5,1,1,1
0,1,0,0.051822,1,S,3,3,1,1
1,1,1,0.207728,0,C,6,3,1,1
0,3,0,0.028302,0,S,1,3,1,1
1,1,1,0.096618,1,C,6,2,1,1
1,1,1,0.138583,1,S,6,3,1,1
0,3,1,0.061045,0,S,4,1,3,1
0,3,1,0.061045,0,S,4,1,3,1
1,2,0,0.050749,0,S,2,3,1,1
0,1,0,0.207728,1,C,3,4,1,1
0,1,0,0.050749,0,S,3,4,1,1
1,2,1,0.050749,0,S,5,2,1,1
1,2,0,0.027058,0,C,2,3,1,1
0,3,0,0.040062,0,S,1,3,1,1
1,2,0,0.071731,0,S,2,1,1,1
1,1,0,0.21643,1,C,3,2,1,1
0,2,0,0.050749,0,S,2,2,1,1
0,3,0,0.015282,0,Q,1,3,1,1
1,3,0,0.014102,0,C,1,2,1,1
1,3,1,0.015176,0,S,4,2,1,1
0,1,0,0.051822,0,S,3,4,1,1
1,1,1,0.077294,1,C,6,4,1,1
0,1,0,0.444099,0,C,3,3,1,1
1,1,1,0.155466,1,S,6,3,1,1
1,3,1,0.033963,0,S,4,3,1,1
0,3,0,0.015127,0,Q,1,3,1,1
0,3,0,0.015412,0,S,1,3,1,1
0,2,0,0.02635,0,S,2,2,1,1
0,3,0,0.015713,0,S,1,3,1,1
0,3,1,0.015713,0,S,4,2,1,1
0,3,0,0.047138,0,S,1,2,2,1
0,3,0,0.015412,0,S,1,2,1,1
0,3,1,0.041136,0,S,4,3,1,2
0,3,0,0.01411,0,C,1,3,1,1
1,3,0,0.01533,0,S,1,3,1,1
1,2,0,0.020495,0,S,2,4,1,1
1,1,1,0.100481,1,S,6,4,2,1
1,1,0,0.051505,1,S,3,3,1,1
1,3,1,0.015127,0,Q,4,2,1,1
0,3,0,0.015713,0,S,1,2,1,1
0,3,0,0.028302,0,S,1,2,1,1
1,2,1,0.025374,0,S,5,3,1,1
1,1,1,0.10911,1,S,6,3,1,1
0,3,1,0.028221,0,C,4,3,1,1
1,3,0,0.015469,0,S,1,3,1,1
1,2,1,0.058556,0,S,5,2,1,1
